,,2026-05-27 14:38:14,,,,,,,,,,,
STT,Mã Tour,Tên Tour,Ngày khởi hành,Ngày đóng chỗ,Tổng,Giữ chỗ,Đã bán,Còn lại,Giá,Giá chưa sale,Hoa hồng,Ghi chú,Link
1,FIT_004297,EU - PHÁP - THỤY SỸ - Ý - VATICAN - 10N9D -,06/06/2026,06/06/2026,30,0,26,4,"76,400,000",,"3,000,000",GIÁ GHÉP LAND (NO VISA): 47.900.000 VNĐ/KHÁCH,https://tinyurl.com/2y7dv6dc
2,FIT_004506,EU - VNA - ĐỨC - HÀ LAN - BỈ - PHÁP 8N8Đ NGÀY,07/06/2026,07/06/2026,30,0,11,19,"68,400,000",,"4,000,000",GIÁ GHÉP LAND (NO VISA): 37.900.000 VNĐ/KHÁCH,https://tinyurl.com/29apllwt
3,FIT_005044,EU - VNA - PHÁP - THỤY SỸ - Ý 10N9D NGÀY,15/06/2026,15/06/2026,25,1,14,10,"80,400,000","81,400,000","4,000,000",GIÁ GHÉP LAND (NO VISA): 53.900.000 VNĐ/KHÁCH,https://tinyurl.com/2csebcu8
4,FIT_004298,EU - PHÁP - THỤY SỸ - Ý - VATICAN - 10N9D -,20/06/2026,20/06/2026,30,1,13,16,"76,400,000",,"4,000,000",GIÁ GHÉP LAND (NO VISA): 47.900.000 VNĐ/KHÁCH,https://tinyurl.com/2b6lrj7o
5,FIT_004507,EU - VNA - ĐỨC - HÀ LAN - BỈ - PHÁP 8N8Đ NGÀY,21/06/2026,21/06/2026,30,2,10,18,"69,400,000",,"4,000,000",GIÁ GHÉP LAND (NO VISA): 37.900.000 VNĐ/KHÁCH,https://tinyurl.com/2clh9f9x
6,FIT2026_005447,EU.VNA - HÀ LAN - ĐỨC - LUXEMBOURG - PHÁP - BỈ -10N9Đ -,22/06/2026,22/06/2026,30,3,3,24,"64,400,000",,"2,000,000",GIÁ GHÉP LAND (NO VISA): 39.900.000 VNĐ/KHÁCH,https://tinyurl.com/26xdpxng
7,FIT_005247,FIT- EU - BẮC ÂU - ĐAN MẠCH - NAUY - THỤY ĐIỂN - PHẦN LAN - SÔNG BĂNG - VỊNH HẸP 12N11Đ NGÀY,23/06/2026,23/06/2026,25,5,10,10,"118,400,000",,"4,000,000",GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 83.900.000 VNĐ/KHÁCH,https://tinyurl.com/29kmyezv
8,FIT_004511,EU - VNA - ĐỨC - HÀ LAN - BỈ - PHÁP - THỤY SỸ 9N9Đ NGÀY,27/06/2026,26/06/2026,30,1,5,24,"79,400,000",,"4,000,000",GIÁ GHÉP LAND (NO VISA): 46.900.000 VNĐ/KHÁCH,https://tinyurl.com/23l97vtf
9,FIT_004299,EU - PHÁP - THỤY SỸ - Ý - VATICAN - 10N9D -,04/07/2026,04/07/2026,30,6,9,15,"78,400,000",,"3,000,000",GIÁ GHÉP LAND (NO VISA): 47.900.000 VNĐ/KHÁCH,https://tinyurl.com/24z5zwmg
10,FIT_004508,EU - VNA - ĐỨC - HÀ LAN - BỈ - PHÁP 8N8Đ NGÀY,12/07/2026,11/07/2026,30,0,0,30,"71,400,000",,"2,000,000",GIÁ GHÉP LAND (NO VISA): 37.900.000 VNĐ/KHÁCH,https://tinyurl.com/26xyxsnp
